,Title,CreatedAt,MergedAt,FirstCommit,CodingTime,PR_PickupTime,ReviewTime
0,[compiler] Prune all unused array destructure items during DCE,2024-11-22 20:55:20,2024-11-22 20:59:59,2024-11-22 20:54:53,0 days 00:00:27,N/A,N/A
1,[crud] Only export uRC when flag is enabled,2024-11-22 19:11:44,2024-11-22 21:13:42,2024-11-22 21:06:37,-1 days +22:05:07,N/A,1:10:32
2,[compiler] Infer deps configuration,2024-11-22 18:25:56,2024-11-22 22:19:20,2024-11-22 18:22:39,0 days 00:03:17,N/A,0:20:41
3,Mark all lanes in order on every new render,2024-11-22 17:45:11,2024-11-22 18:04:06,2024-11-22 17:39:49,0 days 00:05:22,0:00:00,0:06:52
4,'add,2024-11-22 13:43:50,Not Merged,2024-11-22 13:41:43,0 days 00:02:07,N/A,N/A
5,Mark ping time as update,2024-11-22 00:25:40,2024-11-22 00:36:38,2024-11-22 00:23:35,0 days 00:02:05,N/A,0:05:45
6,Fix Logging of Immediately Resolved Promises,2024-11-21 21:59:00,2024-11-21 22:16:54,2024-11-20 16:31:54,1 days 05:27:06,0:00:00,0:11:26
7,Update README.md,2024-11-21 17:39:54,Not Merged,2024-11-21 17:39:16,0 days 00:00:38,N/A,N/A
8,Improve type safety in startReadingFromStream function,2024-11-21 11:49:02,Not Merged,2024-11-21 11:45:04,0 days 00:03:58,N/A,N/A
9,[compiler][wip] Validate misuse of useState(),2024-11-21 05:31:37,Not Merged,2024-11-21 05:31:35,0 days 00:00:02,N/A,N/A
